"accumulo"
"ambari"
"atlas"
"aurora"
"batik"
"beam"
"cocoon"
"commons-bcel"
"commons-beanutils"
"commons-cli"
"commons-codec"
"commons-collections"
"commons-configuration"
"commons-daemon"
"commons-dbcp"
"commons-dbutils"
"commons-digester"
"commons-exec"
"commons-fileupload"
"commons-io"
"commons-jelly"
"commons-jexl"
"commons-jxpath"
"commons-net"
"commons-ognl"
"commons-validator"
"commons-vfs"
"felix"
"httpcomponents-client"
"httpcomponents-core"
"mina-sshd"
"santuario"
"zookeeper"
